phrase,Actual Negative
missed the bus and do not have my car ... start to good week not,The week started with missing bus and being stranded
banks love giving money to people who dont need it,banks give money to rich people
explaining taxation to republicans,It is difficult to explain taxation to republicans
every test ever is taking place in the next two days blessed love stress free lo l not,stressed about getting failed in exams
rt i was shown a white wall and i was told it was a painting and i loved it,annoyed by how a white wall is called a painting
when your parents ask where all your money went,hate when parents question about money
people actually believe this stuff,This stuff is unbelievable
sounds about right i have a degree in biochemistry and i spent a year working at pizza hut before i could finally get a lab job,"Even with a degree in biochemistry, getting a lab job is dream come true"
oh how i love being wide awake at 4:30 am,I hate waking up early in the morning
today will be an awesome day full of homework & studying,today will be a bad day full of homework and studying
omg why does he want to help seriously the whole gesture is so rude,the whole gesture is rude
thank you for taking an hour and 40 minutes to read everything directly off the slides good lecture not waste of time,It was a bad lecture and wasted time 
ii want to hear more about that reality,It is fake
no he can not be forced to attend the meeting they can legally fire him if he does not,he is forced to attend the meeting
sold my best players to build a team with different card types looks pretty and plays pretty well too,sold bad players to build a team which plays pretty well
you are right he had hiv a step away from aids my bad,"you are wrong, he had HIV aids"
how is it vacation when i am stuck babysitting,Working on a vacation stuck with babysitting
and those new jobs are where exactly,"hunting for job, can't find"
he is right illegal things dont exist theres no such thing as weed,Illegal things exist like Weed
the american revolutionaries would never destroy personal property as a form of protest except for all the personal property that they destroyed like yknow that thing with the tea,the american revolutionaries would destroy personal property
i wish i had a gf,"I don’t have a girlfriend, want one"
a nice story but not exactly true,it’s a false story
or you know dont spend more money than you have,people are careless about money
a fetus has more rights than a woman,Women don't have many rights
this sounds like a really good idea which is why i dont think it will happen,Good ideas seldom work
iphone shut off for no known reason so they gave me a new one ... cool great ... lost all my photos ... fantastic annoyed,Lost all my photos because old phone was shut off
he is probably so used to eating garbage food that his body rejects good food,he eats unhealthy food regularly
this looks amazing my only complaint is that the screen is too zoomed in on sonic so you cant really see where you are going,this looks bad as screen is too zoomed in so you cant see where you are going
i just love getting up this early to go into school so tired kill me,I hate getting up early to go to school
i love how i am just being told to mix medications know as doctors experiment because they have no clue what's wrong with me,I hate mixing medications as doctors don’t know whats wrong with me
i love how conservatives attempt to win over canadians by calling them dumb,conservatives are dumb
cant wait to start waking up early everyday for my 6am shifts work grind,Don’t want to wake up early for 6am shifts
btw thanks for making me feel guilty for enjoying a hot dog . thank you so very fing much,Feeling guilty for eating a hot dog
i exercise . i do one sit up everyday when i get out of bed in the morning,I don’t exercise
you guys are hilarious i was being sarcastic,you guys are dumb
